,,,,,Entitlement,,,,,,,,,,,,,Authorization,,,,,,,,,Keychains,,Keys,,,,,,
Theme (also: Keychain Name),Category,Function,Feature,Primary Persona,Source,Subscription Tier,Free Comparison Tier,TeamDesigner Comparison Tier,TeamOperator Comparison Tier,Enterprise Comparison Tier,Tech,Version,Pricing page?,Video?,Documented?,,Anonymous,User,Team Admin,Workspace Admin,Org Billing Manager,Org Admin,Provider Admin,,Curator,Kanvas,Keychain ID,SQL,Key ID,SQL,Inserted,Local Provider,Update SQL,,E2E Test
,,,,,,,,,,,,,,,150/277 = 54%,,,,,,,,,,,,,,,,,,,,
Account Management,Profile,View Profile,View your profile.,User,Closed,Free,x,,,x,Cloud,,,,https://docs.layer5.io/cloud/getting-started/getting-started-with-layer5-account/#7-viewing-your-layer5-profile,,X,X,X,X,X,X,X,,,,Account Management,,fa7de118-2d08-4b07-b9d7-3e0baead6d04  ,"INSERT INTO keys (id, category, subcategory, function, description) VALUES ('fa7de118-2d08-4b07-b9d7-3e0baead6d04','Account Management','Profile','View Profile','View your profile.')",X,FALSE,"UPDATE keys SET category = 'Account Management', subcategory = 'Profile', function = 'View Profile', description = 'View your profile.', updated_at = NOW() WHERE id = 'fa7de118-2d08-4b07-b9d7-3e0baead6d04';",,
Account Management,Profile,Edit Account,Update details of your user account.,User,Closed,Free,x,,,x,Cloud,,,,https://docs.layer5.io/cloud/identity/users/,,X,X,X,X,X,X,X,,,,Account Management,,f5e6bb39-c89a-4172-86f9-14a4a59792c1,"INSERT INTO keys (id, category, subcategory, function, description) VALUES ('f5e6bb39-c89a-4172-86f9-14a4a59792c1','Account Management','Profile','Edit Account','Update details of your user account.')",X,FALSE,"UPDATE keys SET category = 'Account Management', subcategory = 'Profile', function = 'Edit Account', description = 'Update details of your user account.', updated_at = NOW() WHERE id = 'f5e6bb39-c89a-4172-86f9-14a4a59792c1';",,
Account Management,Profile,Reset Pasword,Perform a password reset for your user account.,User,Closed,Free,x,,,x,Cloud,,,,https://docs.layer5.io/cloud/identity/users/,,X,X,X,X,X,X,X,,,,Account Management,,ec8a4b2e-8323-4a96-86ef-ec7be8f58ef1,"INSERT INTO keys (id, category, subcategory, function, description) VALUES ('ec8a4b2e-8323-4a96-86ef-ec7be8f58ef1','Account Management','Profile','Reset Pasword','Perform a password reset for your user account.')",X,FALSE,"UPDATE keys SET category = 'Account Management', subcategory = 'Profile', function = 'Reset Pasword', description = 'Perform a password reset for your user account.', updated_at = NOW() WHERE id = 'ec8a4b2e-8323-4a96-86ef-ec7be8f58ef1';",,
Account Management,Profile,Delete Account,Delete your user account.,User,Closed,Free,x,,,x,Cloud,,,,https://docs.layer5.io/cloud/identity/users/,,X,X,X,X,X,X,X,,,,Account Management,,bbcb024b-78eb-48b0-8e99-f74d3862fe0f,"INSERT INTO keys (id, category, subcategory, function, description) VALUES ('bbcb024b-78eb-48b0-8e99-f74d3862fe0f','Account Management','Profile','Delete Account','Delete your user account.')",X,FALSE,"UPDATE keys SET category = 'Account Management', subcategory = 'Profile', function = 'Delete Account', description = 'Delete your user account.', updated_at = NOW() WHERE id = 'bbcb024b-78eb-48b0-8e99-f74d3862fe0f';",,
Account Management,Profile,Connect your Github Account,Link your social sign-in with GitHub to your existing user account.,User,Closed,Team,,x,,x,Cloud,,,,https://docs.layer5.io/cloud/identity/users/,,X,X,X,X,X,X,X,,,,Account Management,,9ea3070a-f2a4-4655-8660-5dba692f3138,"INSERT INTO keys (id, category, subcategory, function, description) VALUES ('9ea3070a-f2a4-4655-8660-5dba692f3138','Account Management','Profile','Connect your Github Account','Link your social sign-in with GitHub to your existing user account.')",X,FALSE,"UPDATE keys SET category = 'Account Management', subcategory = 'Profile', function = 'Connect your Github Account', description = 'Link your social sign-in with GitHub to your existing user account.', updated_at = NOW() WHERE id = '9ea3070a-f2a4-4655-8660-5dba692f3138';",,
Account Management,Profile,Connect your Google Account,Link your social sign-in with Google to your existing user account.,User,Closed,Team,,x,,x,Cloud,,,,https://docs.layer5.io/cloud/identity/users/,,X,X,X,X,X,X,X,,,,Account Management,,bab2c574-d4e8-4e1e-a9f8-48c10be66b62,"INSERT INTO keys (id, category, subcategory, function, description) VALUES ('bab2c574-d4e8-4e1e-a9f8-48c10be66b62','Account Management','Profile','Connect your Google Account','Link your social sign-in with Google to your existing user account.')",X,FALSE,"UPDATE keys SET category = 'Account Management', subcategory = 'Profile', function = 'Connect your Google Account', description = 'Link your social sign-in with Google to your existing user account.', updated_at = NOW() WHERE id = 'bab2c574-d4e8-4e1e-a9f8-48c10be66b62';",,
Account Management,Subscription,View Subcription,List and see details of active and inactive subscriptions.,Billing,Closed,Team,x,x,,x,Cloud,,,,https://layer5.io/pricing,,,,,,X,X,X,,,,Account Management,,9098e61d-deaa-43da-960c-1bc3d5a00495,"INSERT INTO keys (id, category, subcategory, function, description) VALUES ('9098e61d-deaa-43da-960c-1bc3d5a00495','Account Management','Subscription','View Subcription','List and see details of active and inactive subscriptions.')",X,FALSE,"UPDATE keys SET category = 'Account Management', subcategory = 'Subscription', function = 'View Subcription', description = 'List and see details of active and inactive subscriptions.', updated_at = NOW() WHERE id = '9098e61d-deaa-43da-960c-1bc3d5a00495';",,
